date,home_team,away_team,tournament,location,home_elo_rating,away_elo_rating,home_elo_rank,away_elo_rank
2026-06-24,Canada,Switzerland,World Cup,Canada,1784,1889,25,16
2026-06-24,Haiti,Morocco,World Cup,the United States,1532,1822,77,24
2026-06-24,Mexico,Czechia,World Cup,Mexico,1860,1726,20,40
2026-06-24,South Africa,South Korea,World Cup,Mexico,1524,1752,79,32
2026-06-25,Australia,Paraguay,World Cup,the United States,1783,1833,26,22
2026-06-25,Curaçao,Ivory Coast,World Cup,the United States,1436,1676,90,52
2026-06-25,Ecuador,Germany,World Cup,the United States,1933,1923,9,11
2026-06-25,Japan,Sweden,World Cup,the United States,1904,1719,13,43
2026-06-25,Netherlands,Tunisia,World Cup,the United States,1961,1636,8,58
2026-06-25,United States,Turkey,World Cup,the United States,1721,1902,41,14
2026-06-26,Belgium,New Zealand,World Cup,Canada,1867,1585,19,68
2026-06-26,Cape Verde,Saudi Arabia,World Cup,the United States,1549,1568,72,71
2026-06-26,Egypt,Iran,World Cup,the United States,1689,1760,51,31
2026-06-26,France,Norway,World Cup,the United States,2081,1912,3,12
2026-06-26,Iraq,Senegal,World Cup,Canada,1607,1878,63,17
2026-06-26,Spain,Uruguay,World Cup,Mexico,2165,1892,1,15
2026-06-27,Algeria,Austria,World Cup,the United States,1743,1827,35,23
2026-06-27,Argentina,Jordan,World Cup,the United States,2113,1690,2,50
2026-06-27,Colombia,Portugal,World Cup,the United States,1975,1984,7,5
2026-06-27,Croatia,Ghana,World Cup,the United States,1930,1503,10,82
2026-06-27,DR Congo,Uzbekistan,World Cup,the United States,1655,1727,54,38
2026-06-27,England,Panama,World Cup,the United States,2020,1737,4,36
2026-09-23,Iraq,Oman,Gulf Cup,Saudi Arabia,1607,1490,63,84
2026-09-23,Saudi Arabia,Kuwait,Gulf Cup,Saudi Arabia,1568,1328,71,128
2026-09-24,Netherlands,Germany,European League A,the Netherlands,1961,1923,8,11
2026-09-24,Norway,Denmark,European League A,Norway,1912,1869,12,18
2026-09-24,Portugal,Wales,European League A,Portugal,1984,1698,5,46
2026-09-24,Austria,Israel,European League B,Austria,1827,1634,23,59
2026-09-24,Bahrain,Qatar,Gulf Cup,Saudi Arabia,1418,1425,100,95
2026-09-25,Italy,Belgium,European League A,Italy,1856,1867,21,19
2026-09-25,Turkey,France,European League A,Turkey,1902,2081,14,3
2026-09-25,Poland,Bosnia/Herzegovina,European League B,Poland,1729,1594,37,66
2026-09-25,Sweden,Romania,European League B,Sweden,1719,1627,43,60
2026-09-26,Czechia,Croatia,European League A,Czechia,1726,1930,40,10
2026-09-26,England,Spain,European League A,England,2020,2165,4,1
2026-09-26,North Macedonia,Switzerland,European League B,North Macedonia,1589,1889,67,16
2026-09-26,Slovenia,Scotland,European League B,Slovenia,1694,1767,48,29
2026-09-26,Iraq,Kuwait,Gulf Cup,Saudi Arabia,1607,1328,63,128
2026-09-26,Saudi Arabia,Oman,Gulf Cup,Saudi Arabia,1568,1490,71,84
2026-09-27,Germany,Greece,European League A,Germany,1923,1752,11,32
2026-09-27,Norway,Portugal,European League A,Norway,1912,1984,12,5
2026-09-27,Serbia,Netherlands,European League A,Serbia,1769,1961,28,8
2026-09-27,Austria,Kosovo,European League B,Austria,1827,1721,23,41
2026-09-27,Qatar,Yemen,Gulf Cup,Saudi Arabia,1425,1151,95,162
2026-09-28,Belgium,France,European League A,Belgium,1867,2081,19,3
2026-09-28,Turkey,Italy,European League A,Turkey,1902,1856,14,21
2026-09-28,Romania,Bosnia/Herzegovina,European League B,Romania,1627,1594,60,66
2026-09-28,Sweden,Poland,European League B,Sweden,1719,1729,43,37
2026-09-29,Czechia,England,European League A,Czechia,1726,2020,40,4
2026-09-29,Spain,Croatia,European League A,Spain,2165,1930,1,10
2026-09-29,Scotland,Switzerland,European League B,Scotland,1767,1889,29,16
2026-09-29,Saudi Arabia,Iraq,Gulf Cup,Saudi Arabia,1568,1607,71,63
2026-09-30,Qatar,UAE,Gulf Cup,Saudi Arabia,1425,1540,95,75
2026-10-01,Denmark,Portugal,European League A,Denmark,1869,1984,18,5
2026-10-01,Germany,Serbia,European League A,Germany,1923,1769,11,28
2026-10-01,Greece,Netherlands,European League A,Greece,1752,1961,32,8
2026-10-01,Wales,Norway,European League A,Wales,1698,1912,46,12
2026-10-01,Ireland,Austria,European League B,Ireland,1692,1827,49,23
2026-10-02,Belgium,Turkey,European League A,Belgium,1867,1902,19,14
2026-10-02,France,Italy,European League A,France,2081,1856,3,21
2026-10-02,Bosnia/Herzegovina,Sweden,European League B,Bosnia/Herzeg,1594,1719,66,43
2026-10-03,Croatia,England,European League A,Croatia,1930,2020,10,4
2026-10-03,Spain,Czechia,European League A,Spain,2165,1726,1,40
2026-10-03,North Macedonia,Scotland,European League B,North Macedonia,1589,1767,67,29
2026-10-03,Switzerland,Slovenia,European League B,Switzerland,1889,1694,16,48
2026-10-04,Greece,Germany,European League A,Greece,1752,1923,32,11
2026-10-04,Netherlands,Serbia,European League A,the Netherlands,1961,1769,8,28
2026-10-04,Portugal,Norway,European League A,Portugal,1984,1912,5,12
2026-10-04,Kosovo,Austria,European League B,Kosovo,1721,1827,41,23
2026-10-05,France,Belgium,European League A,France,2081,1867,3,19
2026-10-05,Italy,Turkey,European League A,Italy,1856,1902,21,14
2026-10-05,Bosnia/Herzegovina,Poland,European League B,Bosnia/Herzeg,1594,1729,66,37
2026-10-05,Romania,Sweden,European League B,Romania,1627,1719,60,43
2026-10-06,Croatia,Spain,European League A,Croatia,1930,2165,10,1
2026-10-06,England,Czechia,European League A,England,2020,1726,4,40
2026-10-06,Scotland,Slovenia,European League B,Scotland,1767,1694,29,48
2026-10-06,Switzerland,North Macedonia,European League B,Switzerland,1889,1589,16,67
