date,home_team,away_team,home_score,away_score,tournament,location,home_elo_rating,away_elo_rating,home_elo_rank,away_elo_rank,home_market_value,away_market_value
2023-06-16,Andorra,Switzerland,1,2,European Champ qual,Andorra,1121,1891,171,14,3340000.0,317600000.0
2023-06-16,Latvia,Turkey,2,3,European Champ qual,Latvia,1340,1709,119,39,17530000.0,522700000.0
2023-06-16,Martinique,Saint Lucia,3,1,CONCACAF Champ qual,the United States,1409,1065,103,181,3830000.0,250000.0
2023-06-16,Guadeloupe,Antigua and Barbuda,5,0,CONCACAF Champ qual,the United States,1217,1121,158,171,12600000.0,650000.0
2023-06-16,Curaçao,Saint Kitts and Nevis,1,1,CONCACAF Champ qual,the United States,1336,1197,122,162,28680000.0,575000.0
2023-06-16,Denmark,Northern Ireland,1,0,European Champ qual,Denmark,1857,1519,17,77,368000000.0,79880000.0
2023-06-16,Malta,England,0,4,European Champ qual,Malta,1268,2004,143,5,14750000.0,1620000000.0
2023-06-16,Kazakhstan,San Marino,3,0,European Champ qual,Italy,1419,780,99,211,17700000.0,1120000.0
2023-06-16,Wales,Armenia,2,4,European Champ qual,Wales,1679,1489,47,81,199050000.0,40380000.0
2023-06-16,North Macedonia,Ukraine,2,3,European Champ qual,North Macedonia,1529,1829,74,23,38680000.0,288200000.0
2023-06-16,Kyrgyzstan,Iran,1,5,Central Asian Nations Cup,Kyrgyzstan,1239,1785,152,26,7580000.0,34680000.0
2023-06-17,Montenegro,Hungary,0,0,European Champ qual,Montenegro,1559,1820,69,23,60130000.0,210800000.0
2023-06-17,Luxembourg,Liechtenstein,2,0,European Champ qual,Luxembourg,1434,968,96,190,32900000.0,600000.0
2023-06-17,Lithuania,Bulgaria,1,1,European Champ qual,Lithuania,1263,1484,145,84,18550000.0,29750000.0
2023-06-17,Iceland,Slovakia,1,2,European Champ qual,Iceland,1502,1616,78,57,74000000.0,130550000.0
2023-06-17,Faroe Islands,Czechia,0,3,European Champ qual,the Faroe Islands,1299,1791,137,26,4950000.0,179080000.0
2023-06-17,Belgium,Austria,1,1,European Champ qual,Belgium,1972,1774,9,29,558200000.0,258300000.0
2023-06-17,Albania,Moldova,2,0,European Champ qual,Albania,1544,1242,72,150,81750000.0,10530000.0
2023-06-17,Puerto Rico,Suriname,0,0,CONCACAF Champ qual,the United States,1119,1303,173,136,1180000.0,37650000.0
2023-06-17,Grenada,Guyana,1,1,CONCACAF Champ qual,the United States,1114,1197,176,160,1750000.0,1500000.0
2023-06-17,Norway,Scotland,1,2,European Champ qual,Norway,1722,1820,37,23,504000000.0,207830000.0
2023-06-17,Cyprus,Georgia,1,2,European Champ qual,Cyprus,1346,1661,117,48,19100000.0,199050000.0
2023-06-17,Portugal,Bosnia and Herzegovina,3,0,European Champ qual,Portugal,2008,1603,5,61,968500000.0,133400000.0
2023-06-17,Azerbaijan,Estonia,1,1,European Champ qual,Azerbaijan,1408,1448,104,93,16230000.0,7000000.0
2023-06-17,Benin,Senegal,1,1,African Nations Cup qual,Benin,1386,1740,108,35,17080000.0,474000000.0
2023-06-17,Angola,Central African Republic,2,1,African Nations Cup qual,Cameroon,1421,1320,99,128,52200000.0,6980000.0
2023-06-17,Uzbekistan,Tajikistan,5,1,Central Asian Nations Cup,Uzbekistan,1626,1326,54,124,79280000.0,7700000.0
2023-06-17,Oman,Turkmenistan,2,0,Central Asian Nations Cup,Uzbekistan,1571,1238,67,153,6100000.0,2950000.0
2023-06-17,South Africa,Morocco,2,1,African Nations Cup qual,South Africa,1571,1838,67,20,41150000.0,456000000.0
2023-06-17,Equatorial Guinea,Tunisia,1,0,African Nations Cup qual,Equatorial Guinea,1498,1725,81,36,12050000.0,66550000.0
2023-06-17,Comoros,Lesotho,1,0,African Nations Cup qual,South Africa,1254,1197,147,160,3280000.0,675000.0
2023-06-17,Botswana,Libya,1,0,African Nations Cup qual,Botswana,1341,1324,119,125,3080000.0,11430000.0
2023-06-17,Zambia,Ivory Coast,3,0,African Nations Cup qual,Zambia,1506,1632,77,52,14630000.0,514900000.0
2023-06-18,Madagascar,Ghana,0,0,African Nations Cup qual,Madagascar,1237,1580,154,64,8230000.0,220780000.0
2023-06-18,Mexico,Panama,1,0,CONCACAF Nat League,the United States,1790,1634,27,51,79800000.0,32400000.0
2023-06-18,Croatia,Spain,0,0,European Nations League,the Netherlands,2010,1989,4,7,357300000.0,1310000000.0
2023-06-18,Netherlands,Italy,2,3,European Nations League,the Netherlands,1955,1961,10,9,766000000.0,833500000.0
2023-06-18,Algeria,Uganda,2,1,African Nations Cup qual,Cameroon,1714,1376,39,111,227850000.0,8750000.0
2023-06-18,Cape Verde,Burkina Faso,3,1,African Nations Cup qual,Cape Verde,1519,1568,76,68,53430000.0,121230000.0
2023-06-18,Congo,Mali,0,2,African Nations Cup qual,Congo,1264,1608,143,61,2600000.0,35700000.0
2023-06-18,Gabon,DR Congo,0,2,African Nations Cup qual,Gabon,1431,1516,96,78,34450000.0,153500000.0
2023-06-18,Nigeria,Sierra Leone,3,2,African Nations Cup qual,Liberia,1615,1325,58,125,218080000.0,13430000.0
2023-06-18,Tanzania,Niger,1,0,African Nations Cup qual,Tanzania,1324,1225,126,155,7530000.0,9980000.0
2023-06-18,Togo,Eswatini,2,0,African Nations Cup qual,South Africa,1363,1264,116,143,29680000.0,1080000.0
2023-06-18,India,Lebanon,2,0,Intercontinental Cup,India,1266,1294,142,137,4800000.0,6430000.0
2023-06-18,Rwanda,Mozambique,0,2,African Nations Cup qual,Rwanda,1247,1343,148,119,6800000.0,30100000.0
2023-06-19,Northern Ireland,Kazakhstan,0,1,European Champ qual,Northern Ireland,1489,1449,83,92,79880000.0,17700000.0
2023-06-19,Israel,Andorra,2,1,European Champ qual,Israel,1612,1120,60,172,86900000.0,3340000.0
2023-06-19,Ireland,Gibraltar,3,0,European Champ qual,Ireland,1659,1065,50,180,144080000.0,1380000.0
2023-06-19,France,Greece,1,0,European Champ qual,France,2114,1694,3,44,1470000000.0,315600000.0
2023-06-19,Armenia,Latvia,2,1,European Champ qual,Armenia,1497,1332,82,123,40380000.0,17530000.0
2023-06-19,England,North Macedonia,7,0,European Champ qual,England,2007,1526,6,75,1620000000.0,38680000.0
2023-06-19,Belarus,Kosovo,2,1,European Champ qual,Hungary,1420,1475,101,85,14000000.0,114280000.0
2023-06-19,Finland,San Marino,6,0,European Champ qual,Finland,1694,780,44,211,41700000.0,1120000.0
2023-06-19,Slovenia,Denmark,1,1,European Champ qual,Slovenia,1662,1851,47,17,143850000.0,368000000.0
2023-06-19,Turkey,Wales,2,0,European Champ qual,Turkey,1728,1660,36,49,522700000.0,199050000.0
2023-06-19,Ukraine,Malta,1,0,European Champ qual,Slovakia,1831,1266,22,141,288200000.0,14750000.0
2023-06-19,Switzerland,Romania,2,2,European Champ qual,Switzerland,1875,1636,14,51,317600000.0,97200000.0
2023-06-20,Scotland,Georgia,2,0,European Champ qual,Scotland,1831,1650,22,50,207830000.0,199050000.0
2023-06-20,Norway,Cyprus,3,1,European Champ qual,Norway,1726,1342,38,119,504000000.0,19100000.0
2023-06-20,Moldova,Poland,3,2,European Champ qual,Moldova,1279,1758,140,33,10530000.0,214000000.0
2023-06-20,Liechtenstein,Slovakia,0,1,European Champ qual,Liechtenstein,966,1618,190,55,600000.0,130550000.0
2023-06-20,Iceland,Portugal,0,1,European Champ qual,Iceland,1498,2012,80,4,74000000.0,968500000.0
2023-06-20,Hungary,Lithuania,2,0,European Champ qual,Hungary,1821,1262,24,147,210800000.0,18550000.0
2023-06-20,Faroe Islands,Albania,1,3,European Champ qual,the Faroe Islands,1281,1562,139,68,4950000.0,81750000.0
2023-06-20,Bosnia and Herzegovina,Luxembourg,0,2,European Champ qual,Bosnia and Herzegovina,1554,1483,69,85,133400000.0,32900000.0
2023-06-20,Bulgaria,Serbia,1,1,European Champ qual,Bulgaria,1497,1854,82,16,29750000.0,296500000.0
2023-06-20,French Guiana,Saint Kitts and Nevis,1,1,CONCACAF Champ qual,the United States,1304,1203,133,159,125000.0,575000.0
2023-06-20,Austria,Sweden,2,0,European Champ qual,Austria,1794,1736,27,35,258300000.0,435380000.0
2023-06-20,Martinique,Puerto Rico,2,0,CONCACAF Champ qual,the United States,1419,1109,101,176,3830000.0,1180000.0
2023-06-20,Guadeloupe,Guyana,2,0,CONCACAF Champ qual,the United States,1245,1169,151,165,12600000.0,1500000.0
2023-06-20,Burundi,Namibia,3,2,African Nations Cup qual,Tanzania,1276,1385,142,109,12450000.0,2080000.0
2023-06-20,Estonia,Belgium,0,3,European Champ qual,Estonia,1442,1978,95,8,7000000.0,558200000.0
2023-06-20,Ethiopia,Malawi,0,0,African Nations Cup qual,Mozambique,1307,1260,131,148,2780000.0,2049999.0
2023-06-20,Uzbekistan,Iran,0,1,Central Asian Nations Cup,Uzbekistan,1609,1802,60,25,79280000.0,34680000.0
2023-06-20,Kyrgyzstan,Oman,0,1,Central Asian Nations Cup,Uzbekistan,1234,1576,155,64,7580000.0,6100000.0
2023-06-20,Mauritania,Sudan,3,0,African Nations Cup qual,Morocco,1401,1291,107,136,23600000.0,3250000.0
2023-06-21,Kuwait,Nepal,3,1,South Asian Championship,India,1382,929,110,195,4350000.0,1330000.0
2023-06-21,India,Pakistan,4,0,South Asian Championship,India,1269,829,143,209,4800000.0,3440000.0
2023-06-22,Lebanon,Bangladesh,2,0,South Asian Championship,India,1299,859,135,204,6430000.0,7740000.0
2023-06-22,Maldives,Bhutan,2,0,South Asian Championship,India,942,562,194,236,950000.0,690000.0
2023-06-24,United States,Jamaica,1,1,CONCACAF Championship,the United States,1828,1550,23,70,356700000.0,53850000.0
2023-06-24,India,Nepal,2,0,South Asian Championship,India,1273,925,143,195,4800000.0,1330000.0
2023-06-24,Kuwait,Pakistan,4,0,South Asian Championship,India,1385,826,109,209,4350000.0,3440000.0
2023-06-25,Lebanon,Bhutan,4,1,South Asian Championship,India,1300,561,135,236,6430000.0,690000.0
2023-06-25,Bangladesh,Maldives,3,1,South Asian Championship,India,896,905,200,198,7740000.0,950000.0
2023-06-25,Trinidad and Tobago,Saint Kitts and Nevis,3,0,CONCACAF Championship,the United States,1401,1180,107,163,10100000.0,575000.0
2023-06-25,Mexico,Honduras,4,0,CONCACAF Championship,the United States,1803,1455,25,91,79800000.0,16300000.0
2023-06-25,Haiti,Qatar,2,1,CONCACAF Championship,the United States,1570,1519,67,75,56830000.0,17930000.0
2023-06-26,Panama,Costa Rica,2,1,CONCACAF Championship,the United States,1663,1660,46,48,32400000.0,18700000.0
2023-06-26,Martinique,El Salvador,2,1,CONCACAF Championship,the United States,1448,1446,93,95,3830000.0,6960000.0
2023-06-27,India,Kuwait,1,1,South Asian Championship,India,1274,1384,143,111,4800000.0,4350000.0
2023-06-27,Guatemala,Cuba,1,0,CONCACAF Championship,the United States,1490,1325,84,124,5400000.0,2100000.0
2023-06-27,Nepal,Pakistan,1,0,South Asian Championship,India,939,812,194,209,1330000.0,3440000.0
2023-06-28,Lebanon,Maldives,1,0,South Asian Championship,India,1304,901,133,200,6430000.0,950000.0
2023-06-28,Bangladesh,Bhutan,3,1,South Asian Championship,India,904,553,198,236,7740000.0,690000.0
2023-06-28,United States,Saint Kitts and Nevis,6,0,CONCACAF Championship,the United States,1829,1179,23,163,356700000.0,575000.0
2023-06-28,Jamaica,Trinidad and Tobago,4,1,CONCACAF Championship,the United States,1576,1375,64,114,53850000.0,10100000.0
2023-06-29,Mexico,Haiti,3,1,CONCACAF Championship,the United States,1819,1554,25,70,79800000.0,56830000.0
2023-06-29,Honduras,Qatar,1,1,CONCACAF Championship,the United States,1460,1514,89,77,16300000.0,17930000.0
2023-06-30,Costa Rica,El Salvador,0,0,CONCACAF Championship,the United States,1646,1460,51,89,18700000.0,6960000.0
2023-06-30,Panama,Martinique,2,1,CONCACAF Championship,the United States,1674,1437,46,96,32400000.0,3830000.0
2023-07-01,Canada,Guatemala,0,0,CONCACAF Championship,the United States,1704,1504,41,79,129050000.0,5400000.0
2023-07-01,Guadeloupe,Cuba,4,1,CONCACAF Championship,the United States,1319,1274,129,143,12600000.0,2100000.0
2023-07-01,India,Lebanon,0,0,South Asian Championship,India,1270,1308,144,131,4800000.0,6430000.0
2023-07-01,Kuwait,Bangladesh,1,0,South Asian Championship,India,1386,902,108,199,4350000.0,7740000.0
2023-07-02,United States,Trinidad and Tobago,6,0,CONCACAF Championship,the United States,1833,1371,21,114,356700000.0,10100000.0
2023-07-02,Qatar,Mexico,1,0,CONCACAF Championship,the United States,1557,1776,70,28,17930000.0,79800000.0
2023-07-02,Jamaica,Saint Kitts and Nevis,5,0,CONCACAF Championship,the United States,1585,1170,63,164,53850000.0,575000.0
2023-07-02,Honduras,Haiti,2,1,CONCACAF Championship,the United States,1492,1522,85,75,16300000.0,56830000.0
2023-07-04,Canada,Cuba,4,2,CONCACAF Championship,the United States,1710,1268,40,144,129050000.0,2100000.0
2023-07-04,El Salvador,Panama,2,2,CONCACAF Championship,the United States,1474,1660,90,48,6960000.0,32400000.0
2023-07-04,Costa Rica,Martinique,6,4,CONCACAF Championship,the United States,1663,1420,46,100,18700000.0,3830000.0
2023-07-04,India,Kuwait,1,1,South Asian Championship,India,1271,1385,143,109,4800000.0,4350000.0
2023-07-04,Guatemala,Guadeloupe,3,2,CONCACAF Championship,the United States,1517,1306,77,133,5400000.0,12600000.0
2023-07-05,South Africa,Namibia,1,1,COSAFA Cup,South Africa,1557,1399,69,108,41150000.0,2080000.0
2023-07-05,Botswana,Eswatini,1,0,COSAFA Cup,South Africa,1357,1248,117,150,3080000.0,1080000.0
2023-07-06,Malawi,Zambia,1,0,COSAFA Cup,South Africa,1292,1474,136,89,2049999.0,14630000.0
2023-07-06,Comoros,Seychelles,3,0,COSAFA Cup,South Africa,1262,880,148,202,3280000.0,1030000.0
2023-07-07,Lesotho,Mauritius,2,0,COSAFA Cup,South Africa,1209,944,158,193,675000.0,850000.0
2023-07-07,Angola,Mozambique,1,1,COSAFA Cup,South Africa,1417,1347,101,118,52200000.0,30100000.0
2023-07-08,Mexico,Costa Rica,2,0,CONCACAF Championship,the United States,1802,1637,25,51,79800000.0,18700000.0
2023-07-08,Panama,Qatar,4,0,CONCACAF Championship,the United States,1693,1524,45,74,32400000.0,17930000.0
2023-07-08,Eswatini,Namibia,2,1,COSAFA Cup,South Africa,1276,1371,143,113,1080000.0,2080000.0
2023-07-08,South Africa,Botswana,2,1,COSAFA Cup,South Africa,1563,1351,68,117,41150000.0,3080000.0
2023-07-09,Zambia,Comoros,2,1,COSAFA Cup,South Africa,1483,1253,86,150,14630000.0,3280000.0
2023-07-09,Malawi,Seychelles,2,0,COSAFA Cup,South Africa,1297,875,136,203,2049999.0,1030000.0
2023-07-09,Jamaica,Guatemala,1,0,CONCACAF Championship,the United States,1605,1497,62,81,53850000.0,5400000.0
2023-07-10,Lesotho,Mozambique,1,0,COSAFA Cup,South Africa,1237,1319,154,128,675000.0,30100000.0
2023-07-10,Mauritius,Angola,1,0,COSAFA Cup,South Africa,982,1379,188,109,850000.0,52200000.0
2023-07-11,Bermuda,Greenland,3,2,Island Games,the United Kingdom,1169,953,165,192,375000.0,0.0
2023-07-11,Zambia,Seychelles,4,2,COSAFA Cup,South Africa,1485,873,86,203,14630000.0,1030000.0
2023-07-11,Malawi,Comoros,2,0,COSAFA Cup,South Africa,1323,1227,126,156,2049999.0,3280000.0
2023-07-11,Botswana,Namibia,0,0,COSAFA Cup,South Africa,1352,1370,117,114,3080000.0,2080000.0
2023-07-11,South Africa,Eswatini,2,1,COSAFA Cup,South Africa,1567,1272,68,144,41150000.0,1080000.0
2023-07-12,Mozambique,Mauritius,1,0,COSAFA Cup,South Africa,1324,977,124,188,30100000.0,850000.0
2023-07-12,Angola,Lesotho,4,2,COSAFA Cup,South Africa,1397,1219,107,158,52200000.0,675000.0
2023-07-12,United States,Panama,1,1,CONCACAF Championship,the United States,1805,1707,25,41,356700000.0,32400000.0
2023-07-12,Mexico,Jamaica,3,0,CONCACAF Championship,the United States,1823,1584,23,63,79800000.0,53850000.0
2023-07-14,Lesotho,Malawi,1,1,COSAFA Cup,South Africa,1225,1317,156,129,675000.0,2049999.0
2023-07-14,South Africa,Zambia,1,2,COSAFA Cup,South Africa,1537,1515,71,78,41150000.0,14630000.0
2023-07-16,Mexico,Panama,1,0,CONCACAF Championship,the United States,1840,1690,20,45,79800000.0,32400000.0
2023-07-16,Zambia,Lesotho,1,0,COSAFA Cup,South Africa,1521,1219,76,158,14630000.0,675000.0
2023-07-16,South Africa,Malawi,0,0,COSAFA Cup,South Africa,1522,1332,74,121,41150000.0,2049999.0
2023-08-24,Madagascar,Seychelles,1,0,Indian Ocean Games,Madagascar,1254,871,150,203,8230000.0,1030000.0
2023-08-24,Comoros,Mayotte,0,0,Indian Ocean Games,Madagascar,1226,1210,155,158,3280000.0,0.0
2023-08-26,Madagascar,Mauritius,1,1,Indian Ocean Games,Madagascar,1242,989,151,188,8230000.0,850000.0
2023-08-28,Mauritius,Seychelles,1,0,Indian Ocean Games,Madagascar,999,861,187,204,850000.0,1030000.0
2023-08-28,Comoros,Reunion,1,1,Indian Ocean Games,Madagascar,1232,1357,155,116,3280000.0,0.0
2023-08-31,Reunion,Mauritius,2,1,Indian Ocean Games,Madagascar,1360,996,116,187,0.0,850000.0
2023-08-31,Madagascar,Comoros,4,2,Indian Ocean Games,Madagascar,1258,1216,150,157,8230000.0,3280000.0
2023-09-02,Madagascar,Reunion,1,0,Indian Ocean Games,Madagascar,1273,1345,144,117,8230000.0,0.0
2023-09-02,Mauritius,Comoros,2,0,Indian Ocean Games,Madagascar,1031,1181,186,162,850000.0,3280000.0
2023-09-06,Libya,Equatorial Guinea,1,1,African Nations Cup qual,Libya,1328,1494,123,84,11430000.0,12050000.0
2023-09-07,Netherlands,Greece,3,0,European Champ qual,the Netherlands,1963,1686,9,45,766000000.0,315600000.0
2023-09-07,Lithuania,Montenegro,2,2,European Champ qual,Lithuania,1272,1538,146,70,18550000.0,60130000.0
2023-09-07,Kazakhstan,Finland,0,1,European Champ qual,Kazakhstan,1437,1706,95,42,17700000.0,41700000.0
2023-09-07,France,Ireland,2,0,European Champ qual,France,2116,1657,2,49,1470000000.0,144080000.0
2023-09-07,Denmark,San Marino,4,0,European Champ qual,Denmark,1851,780,16,212,368000000.0,1120000.0
2023-09-07,Czechia,Albania,1,1,European Champ qual,Czechia,1787,1577,27,66,179080000.0,81750000.0
2023-09-07,US Virgin Islands,Cayman Islands,2,2,CONCACAF Nat League C,the US VirgIslands,639,825,227,207,0.0,0.0
2023-09-07,Guatemala,El Salvador,2,0,CONCACAF Nat League A,Guatemala,1517,1454,77,91,5400000.0,6960000.0
2023-09-07,Saint Lucia,Sint Maarten,5,1,CONCACAF Nat League B,Curaçao,1081,817,179,208,250000.0,325000.0
2023-09-07,Saint Kitts and Nevis,Guadeloupe,1,2,CONCACAF Nat League B,Saint Kitts and Nevis,1152,1324,166,126,575000.0,12600000.0
2023-09-07,Trinidad and Tobago,Curaçao,1,0,CONCACAF Nat League A,Trinidad and Tobago,1384,1323,112,128,10100000.0,28680000.0
2023-09-07,Paraguay,Peru,0,0,World Cup qualifier,Paraguay,1721,1841,39,19,134450000.0,28900000.0
2023-09-07,Colombia,Venezuela,1,0,World Cup qualifier,Colombia,1956,1695,11,43,300500000.0,62780000.0
2023-09-07,Argentina,Ecuador,1,0,World Cup qualifier,Argentina,2152,1849,1,17,761200000.0,366730000.0
2023-09-07,Anguilla,Saint Martin,0,6,CONCACAF Nat League C,Anguilla,584,859,232,205,0.0,0.0
2023-09-07,Poland,Faroe Islands,2,0,European Champ qual,Poland,1760,1279,32,143,214000000.0,4950000.0
2023-09-07,Panama,Martinique,3,0,CONCACAF Nat League A,Panama,1708,1413,40,101,32400000.0,3830000.0
2023-09-07,Slovenia,Northern Ireland,4,2,European Champ qual,Slovenia,1672,1479,47,88,143850000.0,79880000.0
2023-09-07,Thailand,Lebanon,2,1,King's Cup,Thailand,1385,1300,111,136,6380000.0,6430000.0
2023-09-07,Serbia,Hungary,1,2,European Champ qual,Serbia,1827,1848,24,18,296500000.0,210800000.0
2023-09-07,India,Iraq,2,2,King's Cup,Thailand,1282,1606,142,60,4800000.0,19780000.0
2023-09-07,Tunisia,Botswana,3,0,African Nations Cup qual,Tunisia,1732,1348,36,117,66550000.0,3080000.0
2023-09-07,Niger,Uganda,0,2,African Nations Cup qual,Morocco,1207,1394,157,108,9980000.0,8750000.0
2023-09-07,Ghana,Central African Republic,2,1,African Nations Cup qual,Ghana,1584,1316,63,130,220780000.0,6980000.0
2023-09-07,Angola,Madagascar,0,0,African Nations Cup qual,Angola,1386,1284,109,141,52200000.0,8230000.0
2023-09-07,Algeria,Tanzania,0,0,African Nations Cup qual,Algeria,1693,1342,44,119,227850000.0,7530000.0
2023-09-08,Bosnia and Herzegovina,Liechtenstein,2,1,European Champ qual,Bosnia and Herzegovina,1555,965,68,191,133400000.0,600000.0
2023-09-08,St Vincent & Grenadines,Belize,2,1,CONCACAF Nat League B,Martinique,1059,1034,182,183,0.0,375000.0
2023-09-08,Dominican Republic,Nicaragua,0,2,CONCACAF Nat League B,the Dominican Republic,1168,1309,164,133,18030000.0,2580000.0
2023-09-08,Bermuda,French Guiana,0,0,CONCACAF Nat League B,Bermuda,1171,1302,163,135,375000.0,125000.0
2023-09-08,Barbados,Montserrat,2,3,CONCACAF Nat League B,Barbados,1018,1002,186,188,200000.0,375000.0
2023-09-08,Croatia,Latvia,5,0,European Champ qual,Croatia,2011,1331,5,123,357300000.0,17530000.0
2023-09-08,Grenada,Suriname,1,1,CONCACAF Nat League A,Grenada,1119,1298,172,137,1750000.0,37650000.0
2023-09-08,Cuba,Haiti,0,0,CONCACAF Nat League A,the Dominican Republic,1280,1510,145,79,2100000.0,56830000.0
2023-09-08,Uruguay,Chile,3,1,World Cup qualifier,Uruguay,1925,1698,12,42,362450000.0,72700000.0
2023-09-08,Brazil,Bolivia,5,1,World Cup qualifier,Brazil,2095,1601,3,61,908700000.0,19280000.0
2023-09-08,Jamaica,Honduras,1,0,CONCACAF Nat League A,Jamaica,1594,1482,62,84,53850000.0,16300000.0
2023-09-08,Cyprus,Scotland,0,3,European Champ qual,Cyprus,1335,1838,121,21,19100000.0,207830000.0
2023-09-08,Luxembourg,Iceland,3,1,European Champ qual,Luxembourg,1506,1475,81,88,32900000.0,74000000.0
2023-09-08,Georgia,Spain,1,7,European Champ qual,Georgia,1633,2006,52,7,199050000.0,1310000000.0
2023-09-08,Egypt,Ethiopia,1,0,African Nations Cup qual,Egypt,1686,1313,45,131,108830000.0,2780000.0
2023-09-08,Burkina Faso,Eswatini,0,0,African Nations Cup qual,Morocco,1554,1286,69,142,121230000.0,1080000.0
2023-09-08,Turkey,Armenia,1,1,European Champ qual,Turkey,1713,1512,39,78,522700000.0,40380000.0
2023-09-08,Slovakia,Portugal,0,1,European Champ qual,Slovakia,1612,2018,56,4,130550000.0,968500000.0
2023-09-08,Mali,South Sudan,4,0,African Nations Cup qual,Mali,1610,1114,58,175,35700000.0,1600000.0
2023-09-09,Romania,Israel,1,1,European Champ qual,Romania,1629,1619,54,55,97200000.0,86900000.0
2023-09-09,Antigua and Barbuda,Guyana,1,5,CONCACAF Nat League B,Antigua and Barbuda,1077,1204,179,159,650000.0,1500000.0
2023-09-09,Bahamas,Puerto Rico,1,6,CONCACAF Nat League B,the Bahamas,833,1133,206,169,0.0,1180000.0
2023-09-09,British Virgin Islands,Turks and Caicos Islands,3,1,CONCACAF Nat League C,the British VirgIslands,643,742,227,214,0.0,50000.0
2023-09-09,Andorra,Belarus,0,0,European Champ qual,Andorra,1130,1410,170,102,3340000.0,14000000.0
2023-09-09,Azerbaijan,Belgium,0,1,European Champ qual,Azerbaijan,1405,1981,104,8,16230000.0,558200000.0
2023-09-09,England,Ukraine,1,1,European Champ qual,Poland,1998,1840,7,20,1620000000.0,288200000.0
2023-09-09,Estonia,Sweden,0,5,European Champ qual,Estonia,1422,1756,97,33,7000000.0,435380000.0
2023-09-09,Kosovo,Switzerland,2,2,European Champ qual,Kosovo,1489,1861,84,15,114280000.0,317600000.0
2023-09-09,North Macedonia,Italy,1,1,European Champ qual,North Macedonia,1541,1946,70,11,38680000.0,833500000.0
2023-09-09,Comoros,Zambia,1,1,African Nations Cup qual,the Comoros,1193,1509,161,79,3280000.0,14630000.0
2023-09-09,Ivory Coast,Lesotho,1,0,African Nations Cup qual,Ivory Coast,1634,1217,51,155,514900000.0,675000.0
2023-09-09,Malawi,Guinea,2,2,African Nations Cup qual,Malawi,1331,1416,123,99,2049999.0,74250000.0
2023-09-09,Mauritania,Gabon,2,1,African Nations Cup qual,Mauritania,1417,1415,98,100,23600000.0,34450000.0
2023-09-09,Mozambique,Benin,3,2,African Nations Cup qual,Mozambique,1342,1368,119,114,30100000.0,17080000.0
